round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
7,red,Qf2,0,0,0,0,Qg1-f2,g1,f2,Queen,0,,43,43,43,51,16,16,16,16
7,blue,Bb7,0,0,0,0,Ba6-b7,a6,b7,Bishop,0,,43,43,43,51,16,16,16,16
7,yellow,Nf12,0,0,0,0,Ne14-f12,e14,f12,Knight,0,,43,43,43,51,16,16,16,16
7,green,Qi10,0,0,0,0,Qg8-i10,g8,i10,Queen,0,,43,43,43,51,16,16,16,16
8,red,Bg2,0,0,0,0,Bf1-g2,f1,g2,Bishop,0,,43,43,43,51,16,16,16,16
8,blue,e4,0,0,0,0,d4-e4,d4,e4,Pawn,0,,43,43,43,51,16,16,16,16
8,yellow,Ng12,0,0,0,0,Nh10-g12,h10,g12,Knight,0,,43,43,43,51,16,16,16,16
8,green,Ql8,0,0,0,0,Qj8-l8,j8,l8,Queen,0,,43,43,43,51,16,16,16,16
9,red,Ng5,0,0,0,0,Nf3-g5,f3,g5,Knight,0,,43,43,43,51,16,16,16,16
9,blue,Bb8,0,0,0,0,Ba9-b8,a9,b8,Bishop,0,,43,43,43,51,16,16,16,16
9,yellow,Kf14,0,0,0,0,Kg14-f14,g14,f14,King,0,,43,43,43,51,16,16,16,16
9,green,l10,0,0,0,0,m10-l10,m10,l10,Pawn,0,,43,43,43,51,16,16,16,16
10,red,Bh3,0,0,0,0,Bg2-h3,g2,h3,Bishop,0,,43,43,43,51,16,16,16,16
10,blue,Ba9,0,0,0,0,Bb8-a9,b8,a9,Bishop,0,,43,43,43,51,16,16,16,16
10,yellow,h11,0,0,0,0,h13-h11,h13,h11,Pawn,0,,43,43,43,51,16,16,16,16
10,green,Qk8,0,0,0,0,Qi10-k8,i10,k8,Queen,0,,43,43,43,51,16,16,16,16
11,red,O-O-O,0,0,0,0,O-O-O,h1,f1,King,0,,43,43,43,51,16,16,16,16
11,blue,Nc4,0,0,0,0,Na5-c4,a5,c4,Knight,0,,43,43,43,51,16,16,16,16
11,yellow,k11,0,0,0,0,k13-k11,k13,k11,Pawn,0,,43,43,43,51,16,16,16,16
11,green,k10,0,0,0,0,l10-k10,l10,k10,Pawn,0,,43,43,43,51,16,16,16,16
12,red,Ke1,0,0,0,0,Kf1-e1,f1,e1,King,0,,43,43,43,51,16,16,16,16
12,blue,Nd6,0,0,0,0,Nc4-d6,c4,d6,Knight,0,,43,43,43,51,16,16,16,16
12,yellow,j12,0,0,0,0,j13-j12,j13,j12,Pawn,0,,43,43,43,51,16,16,16,16
12,green,l11,0,0,0,0,m11-l11,m11,l11,Pawn,0,,43,43,43,51,16,16,16,16
13,red,Bg3,0,0,0,0,Bi1-g3,i1,g3,Bishop,0,,43,43,43,51,16,16,16,16
13,blue,Rd4,0,0,0,0,Ra4-d4,a4,d4,Rook,0,,43,43,43,51,16,16,16,16
13,yellow,Bj13,0,0,0,0,Bi14-j13,i14,j13,Bishop,0,,43,43,43,51,16,16,16,16
13,green,Bm10,0,0,0,0,Bn9-m10,n9,m10,Bishop,0,,43,43,43,51,16,16,16,16
14,red,e3,0,0,0,0,e2-e3,e2,e3,Pawn,0,,43,43,43,51,16,16,16,16
14,blue,Ra4,0,0,0,0,Rd4-a4,d4,a4,Rook,0,,43,43,43,51,16,16,16,16
14,yellow,Ri14,0,0,0,0,Rk14-i14,k14,i14,Rook,0,,43,43,43,51,16,16,16,16
14,green,k7,0,0,0,0,m7-k7,m7,k7,Pawn,0,,43,43,43,51,16,16,16,16
15,red,h5,0,0,0,0,h4-h5,h4,h5,Pawn,0,,43,43,43,51,16,16,16,16
15,blue,Ne8,0,0,0,0,Nd6-e8,d6,e8,Knight,0,,43,43,43,51,16,16,16,16
15,yellow,h10,0,0,0,0,h11-h10,h11,h10,Pawn,0,,43,43,43,51,16,16,16,16
15,green,Nl9,0,0,0,0,Nn10-l9,n10,l9,Knight,0,,43,43,43,51,16,16,16,16
16,red,Ni6,0,0,0,0,Ng5-i6,g5,i6,Knight,0,,43,43,43,51,16,16,16,16
16,blue,Nd6,0,0,0,0,Ne8-d6,e8,d6,Knight,0,,43,43,43,51,16,16,16,16
16,yellow,Bh11,0,0,0,0,Bj13-h11,j13,h11,Bishop,0,,43,43,43,51,16,16,16,16
16,green,Qj7,0,0,0,0,Qk8-j7,k8,j7,Queen,0,,43,43,43,51,16,16,16,16
17,red,Nk5,0,0,0,0,Ni6-k5,i6,k5,Knight,0,,43,43,43,51,16,16,16,16
17,blue,Bc6,0,0,0,0,Bb7-c6,b7,c6,Bishop,0,,43,43,43,51,16,16,16,16
17,yellow,Bxm6+,0,0,0,0,Bh11xm6+,h11,m6,Bishop,1,,43,43,43,50,16,16,16,15
17,green,Kn8,0,0,1,0,Kn7-n8,n7,n8,King,0,,43,43,43,50,16,16,16,15
18,red,Nxj7,0,0,1,0,Nk5xQj7,k5,j7,Knight,1,,43,43,43,41,16,16,16,14
18,blue,Nb7,1,0,1,0,Nd6-b7,d6,b7,Knight,0,,43,43,43,41,16,16,16,14
18,yellow,Bxn5,1,0,1,0,Bm6xNn5,m6,n5,Bishop,1,,43,43,43,38,16,16,16,13
18,green,Qj8,1,0,4,0,Ql8-j8,l8,j8,Queen,0,,43,43,43,38,16,16,16,13
19,red,Nk5,1,0,4,0,Nj7-k5,j7,k5,Knight,0,,43,43,43,38,16,16,16,13
19,blue,Na5,1,0,4,0,Nb7-a5,b7,a5,Knight,0,,43,43,43,38,16,16,16,13
19,yellow,Bh11,1,0,4,0,Bn5-h11,n5,h11,Bishop,0,,43,43,43,38,16,16,16,13
19,green,Kn9,1,0,4,0,Kn8-n9,n8,n9,King,0,,43,43,43,38,16,16,16,13
20,red,Ni6,1,0,4,0,Nk5-i6,k5,i6,Knight,0,,43,43,43,38,16,16,16,13
20,blue,Bb7,1,0,4,0,Bc6-b7,c6,b7,Bishop,0,,43,43,43,38,16,16,16,13
20,yellow,Bg10,1,0,4,0,Bh11-g10,h11,g10,Bishop,0,,43,43,43,38,16,16,16,13
20,green,Ql8,1,0,4,0,Qj8-l8,j8,l8,Queen,0,,43,43,43,38,16,16,16,13
21,red,Nxk7,1,0,4,0,Ni6xk7,i6,k7,Knight,1,,43,43,43,37,16,16,16,12
21,blue,Nc6,2,0,4,0,Na5-c6,a5,c6,Knight,0,,43,43,43,37,16,16,16,12
21,yellow,h9,2,0,4,0,h10-h9,h10,h9,Pawn,0,,43,43,43,37,16,16,16,12
21,green,Nxk7,2,0,4,0,Nl9xNk7,l9,k7,Knight,1,,40,43,43,37,15,16,16,12
22,red,Bxk7,2,0,4,3,Bg3xNk7,g3,k7,Bishop,1,,40,43,43,34,15,16,16,11
22,blue,Nb4,5,0,4,3,Nc6-b4,c6,b4,Knight,0,,40,43,43,34,15,16,16,11
22,yellow,h8,5,0,4,3,h9-h8,h9,h8,Pawn,0,,40,43,43,34,15,16,16,11
22,green,Qm8,5,0,4,3,Ql8-m8,l8,m8,Queen,0,,40,43,43,34,15,16,16,11
23,red,Bf1,5,0,4,3,Bh3-f1,h3,f1,Bishop,0,,40,43,43,34,15,16,16,11
23,blue,Ba6,5,0,4,3,Bb7-a6,b7,a6,Bishop,0,,40,43,43,34,15,16,16,11
23,yellow,h7=Q,5,0,4,3,h8-h7=D,h8,h7,Queen,0,,40,43,51,34,15,16,16,11
23,green,Bl8,5,0,4,3,Bn6-l8,n6,l8,Bishop,0,,40,43,51,34,15,16,16,11
24,red,Bxl8,5,0,4,3,Bk7xBl8,k7,l8,Bishop,1,,40,43,51,29,15,16,16,10
24,blue,Bb7,10,0,4,3,Ba6-b7,a6,b7,Bishop,0,,40,43,51,29,15,16,16,10
24,yellow,Qg8,10,0,4,3,Qh7-g8,h7,g8,Queen,0,,40,43,51,29,15,16,16,10
24,green,Qxl8,10,0,4,3,Qm8xBl8,m8,l8,Queen,1,,35,43,51,29,14,16,16,10
25,red,Qxl8,10,0,4,8,Qf2xQl8,f2,l8,Queen,1,,35,43,51,20,14,16,16,9
25,blue,Bb8,19,0,4,8,Ba9-b8,a9,b8,Bishop,0,,35,43,51,20,14,16,16,9
25,yellow,Qi10,19,0,4,8,Qg8-i10,g8,i10,Queen,0,,35,43,51,20,14,16,16,9
25,green,9xl8,19,0,4,8,m9xQl8,m9,l8,Pawn,1,,26,43,51,20,13,16,16,9
26,red,j3,19,0,4,17,j2-j3,j2,j3,Pawn,0,,26,43,51,20,13,16,16,9
26,blue,Ba9,19,0,4,17,Bb8-a9,b8,a9,Bishop,0,,26,43,51,20,13,16,16,9
26,yellow,Bf11,19,0,4,17,Bg10-f11,g10,f11,Bishop,0,,26,43,51,20,13,16,16,9
26,green,Kn10,19,0,4,17,Kn9-n10,n9,n10,King,0,,26,43,51,20,13,16,16,9
27,red,Rh1,19,0,4,17,Rk1-h1,k1,h1,Rook,0,,26,43,51,20,13,16,16,9
27,blue,d6,19,0,4,17,b6-d6,b6,d6,Pawn,0,,26,43,51,20,13,16,16,9
27,yellow,Qg8,19,0,4,17,Qi10-g8,i10,g8,Queen,0,,26,43,51,20,13,16,16,9
27,green,k8,19,0,4,17,l8-k8,l8,k8,Pawn,0,,26,43,51,20,13,16,16,9
28,red,g5,19,0,4,17,g4-g5,g4,g5,Pawn,0,,26,43,51,20,13,16,16,9
28,blue,e6,19,0,4,17,d6-e6,d6,e6,Pawn,0,,26,43,51,20,13,16,16,9
28,yellow,i10,19,0,4,17,i11-i10,i11,i10,Pawn,0,,26,43,51,20,13,16,16,9
28,green,Km11,19,0,4,17,Kn10-m11,n10,m11,King,0,,26,43,51,20,13,16,16,9
29,red,Be2,19,0,4,17,Bf1-e2,f1,e2,Bishop,0,,26,43,51,20,13,16,16,9
29,blue,d5,19,0,4,17,c5-d5,c5,d5,Pawn,0,,26,43,51,20,13,16,16,9
29,yellow,i9,19,0,4,17,i10-i9,i10,i9,Pawn,0,,26,43,51,20,13,16,16,9
29,green,Rn8,19,0,4,17,Rn11-n8,n11,n8,Rook,0,,26,43,51,20,13,16,16,9
30,red,Rh2,19,0,4,17,Rh1-h2,h1,h2,Rook,0,,26,43,51,20,13,16,16,9
30,blue,e7,19,0,4,17,d7-e7,d7,e7,Pawn,0,,26,43,51,20,13,16,16,9
30,yellow,Qj8+,19,0,4,17,Qg8-j8+,g8,j8,Queen,0,,26,43,51,20,13,16,16,9
30,green,Kn11,19,0,4,17,Km11-n11,m11,n11,King,0,,26,43,51,20,13,16,16,9
31,red,h6,19,0,4,17,h5-h6,h5,h6,Pawn,0,,26,43,51,20,13,16,16,9
31,blue,f7,19,0,4,17,e7-f7,e7,f7,Pawn,0,,26,43,51,20,13,16,16,9
31,yellow,i8,19,0,4,17,i9-i8,i9,i8,Pawn,0,,26,43,51,20,13,16,16,9
31,green,l5,19,0,4,17,m5-l5,m5,l5,Pawn,0,,26,43,51,20,13,16,16,9
32,red,Nh5,19,0,4,17,Ni3-h5,i3,h5,Knight,0,,26,43,51,20,13,16,16,9
32,blue,e5,19,0,4,17,d5-e5,d5,e5,Pawn,0,,26,43,51,20,13,16,16,9
32,yellow,Qh11,19,0,4,17,Qh14-h11,h14,h11,Queen,0,,26,43,51,20,13,16,16,9
32,green,Rn6,19,0,4,17,Rn4-n6,n4,n6,Rook,0,,26,43,51,20,13,16,16,9
33,red,Rf2,19,0,4,17,Rh2-f2,h2,f2,Rook,0,,26,43,51,20,13,16,16,9
33,blue,Bc6,19,0,4,17,Bb7-c6,b7,c6,Bishop,0,,26,43,51,20,13,16,16,9
33,yellow,Bg10,19,0,4,17,Bf11-g10,f11,g10,Bishop,0,,26,43,51,20,13,16,16,9
33,green,Rn7,19,0,4,17,Rn6-n7,n6,n7,Rook,0,,26,43,51,20,13,16,16,9
34,red,Kd1,19,0,4,17,Ke1-d1,e1,d1,King,0,,26,43,51,20,13,16,16,9
34,blue,Bxg10,19,0,4,17,Bc6xBg10,c6,g10,Bishop,1,,26,43,46,20,13,16,15,9
34,yellow,Qxg10,19,5,4,17,Qh11xBg10,h11,g10,Queen,1,,26,38,46,20,13,15,15,9
34,green,Rn9,19,5,9,17,Rn8-n9,n8,n9,Rook,0,,26,38,46,20,13,15,15,9
35,red,Rg2,19,5,9,17,Rf2-g2,f2,g2,Rook,0,,26,38,46,20,13,15,15,9
35,blue,Ra6,19,5,9,17,Ra4-a6,a4,a6,Rook,0,,26,38,46,20,13,15,15,9
35,yellow,Qg11,19,5,9,17,Qj8-g11,j8,g11,Queen,0,,26,38,46,20,13,15,15,9
35,green,Rn8,19,5,9,17,Rn7-n8,n7,n8,Rook,0,,26,38,46,20,13,15,15,9
36,red,Rg4,19,5,9,17,Rg2-g4,g2,g4,Rook,0,,26,38,46,20,13,15,15,9
36,blue,Rd6,19,5,9,17,Ra6-d6,a6,d6,Rook,0,,26,38,46,20,13,15,15,9
36,yellow,Qi11,19,5,9,17,Qg11-i11,g11,i11,Queen,0,,26,38,46,20,13,15,15,9
36,green,Rj9,19,5,9,17,Rn9-j9,n9,j9,Rook,0,,26,38,46,20,13,15,15,9
37,red,Ke1,19,5,9,17,Kd1-e1,d1,e1,King,0,,26,38,46,20,13,15,15,9
37,blue,Rd10,19,5,9,17,Rd6-d10,d6,d10,Rook,0,,26,38,46,20,13,15,15,9
37,yellow,Qf11,19,5,9,17,Qg10-f11,g10,f11,Queen,0,,26,38,46,20,13,15,15,9
37,green,Rn9,19,5,9,17,Rn8-n9,n8,n9,Rook,0,,26,38,46,20,13,15,15,9
38,red,fxe5,19,5,9,17,f4xe5,f4,e5,Pawn,1,,26,37,46,20,13,14,15,9
38,blue,Bxe5,20,5,9,17,Ba9xe5,a9,e5,Bishop,1,,25,37,46,20,12,14,15,9
38,yellow,Qxb4,20,6,9,17,Qi11xNb4,i11,b4,Queen,1,,25,34,46,20,12,13,15,9
38,green,Rf9,20,6,12,17,Rj9-f9,j9,f9,Rook,0,,25,34,46,20,12,13,15,9
39,red,Nf6,20,6,12,17,Nh5-f6,h5,f6,Knight,0,,25,34,46,20,12,13,15,9
39,blue,O-O,20,6,12,17,O-O,a8,a10,King,0,,25,34,46,20,12,13,15,9
39,yellow,Qg11,20,6,12,17,Qf11-g11,f11,g11,Queen,0,,25,34,46,20,12,13,15,9
39,green,Ri9,20,6,12,17,Rf9-i9,f9,i9,Rook,0,,25,34,46,20,12,13,15,9
40,red,Nxe4,20,6,12,17,Nf6xe4,f6,e4,Knight,1,,25,33,46,20,12,12,15,9
40,blue,Bxi9,21,6,12,17,Be5xRi9,e5,i9,Bishop,1,,25,33,46,15,12,12,15,8
40,yellow,Qe11,21,11,12,17,Qg11-e11,g11,e11,Queen,0,,25,33,46,15,12,12,15,8
40,green,Rxi9,21,11,12,17,Rn9xBi9,n9,i9,Rook,1,,25,28,46,15,12,11,15,8
41,red,Nf6,21,11,12,22,Ne4-f6,e4,f6,Knight,0,,25,28,46,15,12,11,15,8
41,blue,g7,21,11,12,22,f7-g7,f7,g7,Pawn,0,,25,28,46,15,12,11,15,8
41,yellow,Rxi9,21,11,12,22,Ri14xRi9,i14,i9,Rook,1,,25,28,46,10,12,11,15,7
41,green,j8,21,11,17,22,k8-j8,k8,j8,Pawn,0,,25,28,46,10,12,11,15,7
42,red,hxg7,21,11,17,22,h6xg7,h6,g7,Pawn,1,,25,27,46,10,12,10,15,7
42,blue,Qxg7,22,11,17,22,Qa7xg7,a7,g7,Queen,1,,24,27,46,10,11,10,15,7
42,yellow,Rxc9,22,12,17,22,Ri9xNc9,i9,c9,Rook,1,,24,24,46,10,11,9,15,7
42,green,Km11,22,12,20,22,Kn11-m11,n11,m11,King,0,,24,24,46,10,11,9,15,7
43,red,Nh5,22,12,20,22,Nf6-h5,f6,h5,Knight,0,,24,24,46,10,11,9,15,7
43,blue,Qd7,22,12,20,22,Qg7-d7,g7,d7,Queen,0,,24,24,46,10,11,9,15,7
43,yellow,Qg9,22,12,20,22,Qb4-g9,b4,g9,Queen,0,,24,24,46,10,11,9,15,7
43,green,j10,22,12,20,22,k10-j10,k10,j10,Pawn,0,,24,24,46,10,11,9,15,7
44,red,Rg2,22,12,20,22,Rg4-g2,g4,g2,Rook,0,,24,24,46,10,11,9,15,7
44,blue,Qxd2+,22,12,20,22,Qd7xd2+,d7,d2,Queen,1,,23,24,46,10,10,9,15,7
44,yellow,Ke14,22,13,20,22,Kf14-e14,f14,e14,King,0,,23,24,46,10,10,9,15,7
44,green,i10,22,13,20,22,j10-i10,j10,i10,Pawn,0,,23,24,46,10,10,9,15,7
45,red,Kf1,22,13,20,22,Ke1-f1,e1,f1,King,0,,23,24,46,10,10,9,15,7
45,blue,Qxe3,22,13,20,22,Qd2xe3,d2,e3,Queen,1,,22,24,46,10,9,9,15,7
45,yellow,Re9,22,14,20,22,Rc9-e9,c9,e9,Rook,0,,22,24,46,10,9,9,15,7
45,green,Bk8,22,14,20,22,Bm10-k8,m10,k8,Bishop,0,,22,24,46,10,9,9,15,7
46,red,Rg3,22,14,20,22,Rg2-g3,g2,g3,Rook,0,,22,24,46,10,9,9,15,7
46,blue,Qe5,22,14,20,22,Qe3-e5,e3,e5,Queen,0,,22,24,46,10,9,9,15,7
46,yellow,Nh10,22,14,20,22,Ng12-h10,g12,h10,Knight,0,,22,24,46,10,9,9,15,7
46,green,Bl7,22,14,20,22,Bk8-l7,k8,l7,Bishop,0,,22,24,46,10,9,9,15,7
47,red,Ke1,22,14,20,22,Kf1-e1,f1,e1,King,0,,22,24,46,10,9,9,15,7
47,blue,Qf5,22,14,20,22,Qe5-f5,e5,f5,Queen,0,,22,24,46,10,9,9,15,7
47,yellow,g11,22,14,20,22,g13-g11,g13,g11,Pawn,0,,22,24,46,10,9,9,15,7
47,green,Bk6,22,14,20,22,Bl7-k6,l7,k6,Bishop,0,,22,24,46,10,9,9,15,7
48,red,g6,22,14,20,22,g5-g6,g5,g6,Pawn,0,,22,24,46,10,9,9,15,7
48,blue,Qd5,22,14,20,22,Qf5-d5,f5,d5,Queen,0,,22,24,46,10,9,9,15,7
48,yellow,Re10,22,14,20,22,Re9-e10,e9,e10,Rook,0,,22,24,46,10,9,9,15,7
48,green,Kn10,22,14,20,22,Km11-n10,m11,n10,King,0,,22,24,46,10,9,9,15,7
49,red,Rd3,22,14,20,22,Rg3-d3,g3,d3,Rook,0,,22,24,46,10,9,9,15,7
49,blue,Qa5,22,14,20,22,Qd5-a5,d5,a5,Queen,0,,22,24,46,10,9,9,15,7
49,yellow,Rxd10,22,14,20,22,Re10xRd10,e10,d10,Rook,1,,22,19,46,10,9,8,15,7
49,green,Bxi8,22,14,25,22,Bk6xi8,k6,i8,Bishop,1,,22,19,45,10,9,8,14,7
50,red,Rg3,22,14,25,23,Rd3-g3,d3,g3,Rook,0,,22,19,45,10,9,8,14,7
50,blue,Ka11,22,14,25,23,Ka10-a11,a10,a11,King,0,,22,19,45,10,9,8,14,7
50,yellow,Nxi8,22,14,25,23,Nh10xBi8,h10,i8,Knight,1,,22,19,45,5,9,8,14,6
50,green,Km11,22,14,30,23,Kn10-m11,n10,m11,King,0,,22,19,45,5,9,8,14,6
51,red,g7,22,14,30,23,g6-g7,g6,g7,Pawn,0,,22,19,45,5,9,8,14,6
51,blue,f6,22,14,30,23,e6-f6,e6,f6,Pawn,0,,22,19,45,5,9,8,14,6
51,yellow,Re10,22,14,30,23,Rd10-e10,d10,e10,Rook,0,,22,19,45,5,9,8,14,6
51,green,l4,22,14,30,23,m4-l4,m4,l4,Pawn,0,,22,19,45,5,9,8,14,6
52,red,Rg2,22,14,30,23,Rg3-g2,g3,g2,Rook,0,,22,19,45,5,9,8,14,6
52,blue,g6,22,14,30,23,f6-g6,f6,g6,Pawn,0,,22,19,45,5,9,8,14,6
52,yellow,Rxi10,22,14,30,23,Re10xi10,e10,i10,Rook,1,,22,19,45,4,9,8,14,5
52,green,k5,22,14,31,23,l5-k5,l5,k5,Pawn,0,,22,19,45,4,9,8,14,5
53,red,Ng3,22,14,31,23,Nh5-g3,h5,g3,Knight,0,,22,19,45,4,9,8,14,5
53,blue,Qg5,22,14,31,23,Qa5-g5,a5,g5,Queen,0,,22,19,45,4,9,8,14,5
53,yellow,Qxg7,22,14,31,23,Qg9xg7,g9,g7,Queen,1,,21,19,45,4,8,8,14,5
53,green,j5,22,14,32,23,k5-j5,k5,j5,Pawn,0,,21,19,45,4,8,8,14,5
54,red,ixj5,22,14,32,23,i4xj5,i4,j5,Pawn,1,,21,19,45,3,8,8,14,4
54,blue,Qxj8+#,23,14,32,23,Qg5xj8+#,g5,j8,Queen,1,green,21,19,45,2,8,8,14,3
54,yellow,Qxc11+,23,35,32,23,Qg7xc11+,g7,c11,Queen,1,,21,18,45,2,8,7,14,3
54,green,,23,35,33,23,,,,Pawn,0,,21,18,45,2,8,7,14,3
55,red,Ni4,23,35,33,23,Ng3-i4,g3,i4,Knight,0,,21,18,45,2,8,7,14,3
55,blue,10xc11,23,35,33,23,b10xQc11,b10,c11,Pawn,1,,21,18,36,2,8,7,13,3
55,yellow,Qc9+,23,36,33,23,Qe11-c9+,e11,c9,Queen,0,,21,18,36,2,8,7,13,3
55,green,,23,36,33,23,,,,Pawn,0,,21,18,36,2,8,7,13,3
56,red,Rxg6,23,36,33,23,Rg2xg6,g2,g6,Rook,1,,21,17,36,2,8,6,13,3
56,blue,Kb11,24,36,33,23,Ka11-b11,a11,b11,King,0,,21,17,36,2,8,6,13,3
56,yellow,Qxc11+#,24,36,33,23,Qc9xc11+#,c9,c11,Queen,1,blue,21,16,36,2,8,5,13,3
56,green,,24,36,54,23,,,,Pawn,0,,21,16,36,2,8,5,13,3
57,red,Rxg11,24,36,54,23,Rg6xg11,g6,g11,Rook,1,,21,16,35,2,8,5,12,3
57,blue,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
57,yellow,Qi5+,25,36,54,23,Qc11-i5+,c11,i5,Queen,0,,21,16,35,2,8,5,12,3
57,green,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
58,red,Rg3,25,36,54,23,Rg11-g3,g11,g3,Rook,0,,21,16,35,2,8,5,12,3
58,blue,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
58,yellow,Kd13,25,36,54,23,Ke14-d13,e14,d13,King,0,,21,16,35,2,8,5,12,3
58,green,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
59,red,j6,25,36,54,23,j5-j6,j5,j6,Pawn,0,,21,16,35,2,8,5,12,3
59,blue,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
59,yellow,Rg14,25,36,54,23,Rd14-g14,d14,g14,Rook,0,,21,16,35,2,8,5,12,3
59,green,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
60,red,Kf2,25,36,54,23,Ke1-f2,e1,f2,King,0,,21,16,35,2,8,5,12,3
60,blue,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
60,yellow,Rf10+,25,36,54,23,Ri10-f10+,i10,f10,Rook,0,,21,16,35,2,8,5,12,3
60,green,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
61,red,Bf3,25,36,54,23,Be2-f3,e2,f3,Bishop,0,,21,16,35,2,8,5,12,3
61,blue,,25,36,54,23,,,,Pawn,0,,21,16,35,2,8,5,12,3
61,yellow,Rxg3,25,36,54,23,Rg14xRg3,g14,g3,Rook,1,,16,16,35,2,7,5,12,3
61,green,,25,36,59,23,,,,Pawn,0,,16,16,35,2,7,5,12,3
62,red,Rxg3,25,36,59,23,Rg1xRg3,g1,g3,Rook,1,,16,16,30,2,7,5,11,3
62,blue,,30,36,59,23,,,,Pawn,0,,16,16,30,2,7,5,11,3
62,yellow,Bxa9,30,36,59,23,Be13xRa9,e13,a9,Bishop,1,,16,16,30,2,7,5,11,3
62,green,,30,36,59,23,,,,Pawn,0,,16,16,30,2,7,5,11,3
63,red,Kg2,30,36,59,23,Kf2-g2,f2,g2,King,0,,16,16,30,2,7,5,11,3
63,blue,,30,36,59,23,,,,Pawn,0,,16,16,30,2,7,5,11,3
63,yellow,Bxg3,30,36,59,23,Ba9xRg3,a9,g3,Bishop,1,,11,16,30,2,6,5,11,3
63,green,,30,36,64,23,,,,Pawn,0,,11,16,30,2,6,5,11,3
64,red,Nxg3,30,36,64,23,Ni4xBg3,i4,g3,Knight,1,,11,16,25,2,6,5,10,3
64,blue,,35,36,64,23,,,,Pawn,0,,11,16,25,2,6,5,10,3
64,yellow,Rg10,35,36,64,23,Rf10-g10,f10,g10,Rook,0,,11,16,25,2,6,5,10,3
64,green,,35,36,64,23,,,,Pawn,0,,11,16,25,2,6,5,10,3
65,red,j7,35,36,64,23,j6-j7,j6,j7,Pawn,0,,11,16,25,2,6,5,10,3
65,blue,,35,36,64,23,,,,Pawn,0,,11,16,25,2,6,5,10,3
